uniprot,pdb
P43403,1FBV
P43405,1A81
P43681,2LLY
P45983,1UKH
P45984,3E7O
P45985,3ALN
P46095,8T1V
P46098,8AXD
P47869,9CRV
P48061,1A15
P48066,9CP4
P48067,6ZBV
P48449,1W6J
P48729,5FQD
P48730,3UYS
P48735,4JA8
P49137,1KWP
P49354,1JCQ
P49356,1JCQ
P49588,4XEM
P49662,6KMZ
P49682,8HNK
P49759,1Z57
P49760,3NR9
P49761,2EU9
P49768,2KR6
P49841,1GNG
P49862,2QXG
P50053,2HLZ
P50416,2LE3
P50579,1B59
P50750,3BLH
P51449,3B0W
P51452,1J4X
P51512,1RM8
P51570,1WUU
P51608,1QK9
P51617,6BFN
P51649,2W8N
P51677,7X9Y
P51843,4RWV
P51948,1G25
P51955,2JAV
P52209,2JKV
P52333,1YVJ
P52564,2Y8O
P52788,3C6K
P52895,1IHI
P53355,1IG1
P53634,1K3B
P53667,3S95
P53778,1CM8
P53779,1JNK
P54619,2UV4
P54756,2R2P
P54760,2BBA
P54762,2DJS
P54764,2LW8
P54829,2BIJ
P55011,6PZT
P55055,1P8D
P55157,8EOJ
P55210,1F1J
P55211,1JXQ
P55212,2WDP
P55263,1BX4
P56524,2H8N
P56545,2OME
P56704,7DRT
P56817,1FKN
P57771,2IHD
P60953,1A4R
P61073,2K03
P61244,1AN2
P62136,3E7A
P62508,1KV6
P62937,1AK4
P62993,1AZE
P63000,1E96
P68400,1JWH
P78417,1EEM
P78527,5LUQ
P78536,1BKC
P80192,3DTC
P84022,1MHD
Q00535,1H4L
Q00613,2LDU
Q00796,1PL6
Q00975,2LCM
Q00987,1RV1
Q01064,1TAZ
Q01196,1CMO
Q01433,4NO3
Q01538,7Q45
Q01668,3LV3
Q01970,4GNK
Q02750,1S9J
Q02763,1FVR
Q03181,1GWX
Q04206,1NFI
Q04609,1Z8L
Q04637,1LJ2
Q04759,1XJD
Q04760,1BH5
Q04912,3PLS
Q05193,1DYN
Q05209,5HDE
Q05397,1K04
Q05469,8ZVQ
Q05586,2HQW
Q05655,1YRK
Q05BQ5,3FEO
Q06124,2SHP
Q06187,1AWW
Q06330,2F8X
Q06609,1B22
Q07343,1F0J
Q07817,1BXL
Q07820,2KBW
Q07869,1I7G
Q07912,1CF4
Q08345,3ZOS
Q08493,2QYM
Q08499,1E9K
Q09013,1WT6
Q12772,1UKL
Q12791,2K44
Q12794,2PE4
Q12809,1BYW
Q12879,3NFL
Q12884,1Z68
Q12888,1GZH
Q12913,2CFV
Q12931,4Z1F
Q13043,2JO8
Q13085,2YL2
Q13131,4RED
Q13133,1UHL
Q13153,1F3M
Q13188,3WWS
Q13231,1GUV
Q13255,3KS9
Q13258,8ZVZ
Q13370,1SO2
Q13393,6OHR
Q13418,2KBX
Q13427,2GW2
Q13451,1KT0
Q13490,1QBH
Q13535,5YZ0
Q13554,3BHH
Q13555,2UX0
Q13557,2VN9
Q13563,2KLD
Q13627,2VX3
Q13639,5EM9
Q13822,4ZG6
Q13873,2HLQ
Q13882,1RJA
Q13887,2EBT
Q13936,1T0J
Q13946,1ZKL
Q13951,1CL3
Q14289,2LK4
Q14376,1EK5
Q14397,4BB9
Q14524,2KBI
Q14680,4BKY
Q14697,8D43
Q14790,1F9E
Q14831,3MQ4
Q14832,3SM9
Q14833,7E9H
Q15046,3BJU
Q15059,2E7N
Q15109,2E5E
Q15118,2Q8F
Q15119,2BTZ
Q15149,1MB8
Q15172,6NTS
Q15256,2A8B
Q15303,2AHX
Q15418,2WNT
Q15746,2CQV
Q15750,2J4O
Q15759,3GC8
Q15788,1FM6
Q15831,2WTK
Q15858,5EK0
Q15910,4MI0
Q16236,2FLU
Q16288,1WWC
Q16512,1CXZ
Q16513,4CRS
Q16539,1A9U
Q16548,2VM6
Q16584,5K26
Q16613,6T80
Q16620,1HCF
Q16665,1H2K
Q16769,2AFM
Q16773,1W7L
Q16828,1HZM
Q16831,3EUE
Q16850,3JUS
Q16853,1PU4
Q16875,2AXN
Q16881,2CFY
Q4U2R8,9J02
Q5T6S3,2E5Q
Q5VWZ2,3U0V
Q6IA69,6OFB
Q6V1X1,6EOO
Q7KZI7,3IEC
Q7LBC6,4C8D
Q7Z2W7,8BDC
Q86TI2,6EOQ
Q86UE8,5O0Y
Q86X55,2Y1W
Q8IU85,2JC6
Q8IUF8,2XDV
Q8IXJ6,1J8F
Q8N5Z0,2QLR
Q8N6T7,3K35
Q8NB78,4FWE
Q8NBP7,2P4E
Q8NER1,6L93
Q8NET8,6H9J
Q8NHM5,4O64
Q8TEK3,1NW3
Q8TF76,2VUW
Q8WUI4,3C0Y
Q92499,4XW3
Q92630,3K2L
Q92633,4Z34
Q92731,1L2J
Q92769,3MAX
Q92793,1JSP
Q92843,1MK3
Q92847,6KO5
Q92876,1GVL
Q92993,2EKO
Q93009,1NB8
Q96BR1,6EDX
Q96D31,2MAK
Q96EB6,4I5I
Q96GD4,4AF3
Q96IY4,3D66
Q96JM7,1WJQ
Q96KQ7,2O8J
Q96KS0,5V1B
Q96LA8,4HC4
Q96P20,2NAQ
Q96PY6,4APC
Q96RG2,1LL8
Q96RI1,1OSH
Q96S37,8WJG
Q96SB4,1WAK
Q96SD1,3W1B
Q96T88,2FAZ
Q99250,2KAV
Q99436,4R3O
Q99489,6RKF
Q99538,4AW9
Q99571,9BQH
Q99640,3P1A
Q99683,2CLQ
Q99685,3HJU
Q99720,5HK1
Q99728,1JM7
Q99808,6OB6
Q99873,6NT2
Q9BQF6,3EAY
Q9BSW2,6PSD
Q9BUB5,2HW6
Q9BUL5,6WXK
Q9BY41,1T64
Q9BY66,2E6R
Q9BYF1,1R42
Q9BYP7,5NKP
Q9BYT3,8VF6
Q9BZL6,2COA
Q9BZP6,2YBT
Q9C000,1PN5
Q9C0B1,3LFM
Q9GZT9,2G19
Q9GZU7,1T9Z
Q9H227,2E9L
Q9H228,7EW1
Q9H2G2,2J51
Q9H2X6,6P5S
Q9H2X9,6M23
Q9H3N8,7YFC
Q9H3R0,2XDP
Q9H422,7O7I
Q9H4A3,4PWN
Q9H5I1,2R3A
Q9H6W3,4CCJ
Q9H7Z6,2GIV
Q9H9B1,2IGQ
Q9HBA0,4DX1
Q9HBH9,2AC3
Q9HC16,2JYW
Q9HC62,1TGZ
Q9HC97,8H8J
Q9HCP0,2CMW
Q9NPD5,8PG0
Q9NQU5,2C30
Q9NQW7,3CTZ
Q9NR22,4X41
Q9NR96,8AR3
Q9NRW4,1WRM
Q9NSA0,8WJH
Q9NTG7,3GLR
Q9NUW8,1JY1
Q9NWZ3,2NRU
Q9NXA8,2B4Y
Q9NXG6,6TP5
Q9NXS2,3PB4
Q9NY33,3FVY
Q9NY46,7W77
Q9NYA1,3VZB
Q9P0L2,2HAK
Q9P0U3,2CKG
Q9P0X4,7WLI
Q9P289,3GGF
Q9P2J5,2WFD
Q9UBB5,2L2L
Q9UBC3,3FLG
Q9UBE0,1Y8Q
Q9UBF8,2N73
Q9UBN7,3C5K
Q9UBS5,4MQE
Q9UBT2,1Y8Q
Q9UBU7,4F99
Q9UGL1,2MA5
Q9UGN5,3KCZ
Q9UGP5,1NZP
Q9UHF0,1P9F
Q9UK17,1S1G
Q9UK32,6G76
Q9UK80,2Y5B
Q9UKE5,2X7F
Q9UKV0,8Q9N
Q9ULH1,2D1X
Q9UNQ0,5NJ3
Q9UPP1,2WWU
Q9UQB9,6GR8
Q9UQD0,8FHD
Q9UQL6,5UWI
Q9UQM7,2VZ6
Q9Y233,2OUN
Q9Y239,2B1W
Q9Y243,2X18
Q9Y251,5E8M
Q9Y265,2C9O
Q9Y2J8,4N20
Q9Y2K7,2YU1
Q9Y2Q3,1YZX
Q9Y3S1,6ELM
Q9Y463,8C2Z
Q9Y468,1OYX
Q9Y4P1,2CY7
Q9Y5N1,7F61
Q9Y5X4,4LOG
Q9Y5X5,9JFY
Q9Y5Z0,2EWY
Q9Y6E0,3A7F
Q9Y6F1,2EOC
Q9Y6K1,2QRV
Q9Y6Q9,1KBH
